donor_label	primary_id	processed_id	block_id	file_name	required	exists	size_mb	sha256	local_path	role	included_in_learner_total
Donor_1	HBM347.VDHS.379	HBM675.RVGB.258	HBM675.RVGB.258	raw_expr.h5ad	True	True	68.57	a63f5d007a7c16abfde52c55626917f24bd71e47bb53ecef36d60643f0dcba60	data/source/HUBMAP/Donor_1/snRNAseq/HBM347.VDHS.379/raw_expr.h5ad	Module 1 QC matrix	True
Donor_1	HBM347.VDHS.379	HBM675.RVGB.258	HBM675.RVGB.258	HBM347.VDHS.379.tsv	True	True	0.02	c53249155469f9b71b0f9c54a61960f903df04d900bf7c221aa4d90ccefd80ef	data/source/HUBMAP/Donor_1/snRNAseq/HBM347.VDHS.379/HBM347.VDHS.379.tsv	block metadata	True
Donor_2	HBM473.NKMR.872	HBM362.DZVK.533	HBM362.DZVK.533	raw_expr.h5ad	True	True	104.55	979bac668d8c2f528fa1cb17bf38bc4fda789ccf92ad13537b47d739574b0dd1	data/source/HUBMAP/Donor_2/snRNAseq/HBM473.NKMR.872/raw_expr.h5ad	Module 1 QC matrix	True
Donor_2	HBM473.NKMR.872	HBM362.DZVK.533	HBM362.DZVK.533	HBM473.NKMR.872.tsv	True	True	0.02	eeb2195ff9eeaa56f0a8ad81303611a69cfd36c19b79f87be6e8512c4a5f38d3	data/source/HUBMAP/Donor_2/snRNAseq/HBM473.NKMR.872/HBM473.NKMR.872.tsv	block metadata	True
Donor_3	HBM484.RGWP.797	HBM874.PWHS.622	HBM874.PWHS.622	raw_expr.h5ad	True	True	150.92	b01de10f7d26a8a540c9990e7d2c9d8923e65bf8cb5e91dfad4963c886ad5920	data/source/HUBMAP/Donor_3/snRNAseq/HBM484.RGWP.797/raw_expr.h5ad	Module 1 QC matrix	True
Donor_3	HBM484.RGWP.797	HBM874.PWHS.622	HBM874.PWHS.622	HBM484.RGWP.797.tsv	True	True	0.02	3b568bf9c0d5f66bda33332605f3e6a771ef556fdc0ca3edbad7633e6c858d23	data/source/HUBMAP/Donor_3/snRNAseq/HBM484.RGWP.797/HBM484.RGWP.797.tsv	block metadata	True
Donor_4	HBM379.QCJT.435	HBM735.NMFW.852	HBM735.NMFW.852	raw_expr.h5ad	True	True	70.56	381ba5fbb1d90f284ae1b5cc93e7c3909f0cd85f1a6f6eac4c7c0743a27f478e	data/source/HUBMAP/Donor_4/snRNAseq/HBM379.QCJT.435/raw_expr.h5ad	Module 1 QC matrix	True
Donor_4	HBM379.QCJT.435	HBM735.NMFW.852	HBM735.NMFW.852	HBM379.QCJT.435.tsv	True	True	0.02	5f56424e90857d4f0a6426af48c74f025bf446773555754c90dd6e34b4b71821	data/source/HUBMAP/Donor_4/snRNAseq/HBM379.QCJT.435/HBM379.QCJT.435.tsv	block metadata	True
Donor_2	HBM828.GPVG.252	HBM828.GPVG.252	HBM828.GPVG.252	multiome_mofa.hdf5	True	True	140.78	ee3f1c04256f1053aa16ad372526f89a5f6c23888fa43bf461e2711dba3c1982	data/source/HUBMAP/Donor_2/SNAREseq/HBM828.GPVG.252/multiome_mofa.hdf5	Module 3 MOFA interpretation (default path)	True
GTEx	v10_lung	v10_lung	v10_lung	gene_tpm_v10_lung.gct.gz	True	True	77.6	a1927b6647f0245efaeba9ae20e6602c6465027a1c28b73da81794fe6404bd0a	data/source/GTEX/gene_tpm_v10_lung.gct.gz	Module 4 GTEx lung TPM (levels and HuBMAP bridge)	True
