contrast_id	ENSEMBL	SYMBOL	GENENAME	ENTREZID	log2fc_isst_flight_vs_gc	stat_isst_flight_vs_gc	pvalue_isst_flight_vs_gc	padj_isst_flight_vs_gc	group_mean_isst_gc	group_stdev_isst_gc	group_mean_isst_flight	group_stdev_isst_flight
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000001	Gnai3	G protein subunit alpha i3	14679	-0.0831718683838641	-0.461290473756206	0.644590218626726	0.980031491204562	7446.5399733436	2161.5459754901	7029.01597668987	1459.53889922293
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000028	Cdc45	cell division cycle 45	12544	-0.396824393652829	-1.84520091710769	0.0650083171562854	0.58523498377549	130.576647206388	66.3381112444221	99.8585002484544	23.4016682728837
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000031	H19	H19, imprinted maternally expressed transcript	14955	-0.275289745115971	-0.309224855641382	0.757150487752508	0.987096661702213	2742.80739378907	8127.67953472248	249.881459543355	394.577380274418
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000037	Scml2	Scm polycomb group protein like 2	107815	-0.0907046780899286	-0.254212967880503	0.799331032701788	0.990185110174153	39.4936686260998	23.0397946010001	36.9963656174369	17.3307460337035
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000049	Apoh	apolipoprotein H	11818	-2.17427860576378	-2.74512906758973	0.0060487103536757	0.174786380831745	4234.89407231903	8250.02523468137	5258.39180357801	13479.0111405889
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor	67608	-0.300086463795607	-1.96665445832197	0.0492230605713063	0.518365473334046	1268.03935941507	529.468947785899	1031.22903634627	345.470779716805
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000058	Cav2	caveolin 2	12390	-0.102347572861994	-0.438185195069825	0.661252039865787	0.98154713951488	21385.9869990845	9703.97860797392	19920.9325219081	5098.83817739026
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000078	Klf6	Kruppel-like transcription factor 6	23849	-0.197568608917048	-1.28248379591889	0.199672985677163	0.824285968726977	15558.0395669498	6063.15674227304	13566.1883680692	3279.73033337876
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1	29871	0.182501327149959	1.55229182891768	0.120592412166653	0.709121118471876	1129.24971636674	319.551228374799	1280.39433780155	234.753962146297
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000088	Cox5a	cytochrome c oxidase subunit 5A	12858	-0.395348223370896	-1.59493335261734	0.110727140313273	0.692356671264408	2870.02746163587	1907.65769923867	2182.59556856086	879.782845956334
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000093	Tbx2	T-box 2	21385	0.27872904996	0.790448737115326	0.429265748914677	0.940452234331191	1766.1162555954	1187.60654132555	2142.52925453829	709.168892812901
M_FLIGHT_ISST_flight_vs_gc	ENSMUSG00000000094	Tbx4	T-box 4	21387	0.303509404592436	1.11347468724186	0.265504613798602	0.868199884767977	1468.7635277004	782.332359847675	1812.49046211952	432.786670331117
