# source=Ensembl BioMart hsapiens_gene_ensembl (with_mmusculus_homolog)
# orthology_type=ortholog_one2one; unique human/mouse symbols
# download_date=2026-08-09
# ensembl_host=www.ensembl.org (current at download)
human_symbol	human_ensembl	mouse_symbol	mouse_ensembl	orthology_type
MT-ND1	ENSG00000198888	mt-Nd1	ENSMUSG00000064341	ortholog_one2one
MT-ND2	ENSG00000198763	mt-Nd2	ENSMUSG00000064345	ortholog_one2one
MT-CO1	ENSG00000198804	mt-Co1	ENSMUSG00000064351	ortholog_one2one
MT-CO2	ENSG00000198712	mt-Co2	ENSMUSG00000064354	ortholog_one2one
MT-ATP8	ENSG00000228253	mt-Atp8	ENSMUSG00000064356	ortholog_one2one
MT-ATP6	ENSG00000198899	mt-Atp6	ENSMUSG00000064357	ortholog_one2one
MT-CO3	ENSG00000198938	mt-Co3	ENSMUSG00000064358	ortholog_one2one
MT-ND3	ENSG00000198840	mt-Nd3	ENSMUSG00000064360	ortholog_one2one
MT-ND4L	ENSG00000212907	mt-Nd4l	ENSMUSG00000065947	ortholog_one2one
MT-ND4	ENSG00000198886	mt-Nd4	ENSMUSG00000064363	ortholog_one2one
MT-ND5	ENSG00000198786	mt-Nd5	ENSMUSG00000064367	ortholog_one2one
MT-ND6	ENSG00000198695	mt-Nd6	ENSMUSG00000064368	ortholog_one2one
MT-CYB	ENSG00000198727	mt-Cytb	ENSMUSG00000064370	ortholog_one2one
SRY	ENSG00000184895	Sry	ENSMUSG00000069036	ortholog_one2one
DDX3Y	ENSG00000067048	Ddx3y	ENSMUSG00000069045	ortholog_one2one
USP9Y	ENSG00000114374	Usp9y	ENSMUSG00000069044	ortholog_one2one
UTY	ENSG00000183878	Uty	ENSMUSG00000068457	ortholog_one2one
KDM5D	ENSG00000012817	Kdm5d	ENSMUSG00000056673	ortholog_one2one
ERICH6B	ENSG00000165837	Erich6b	ENSMUSG00000022002	ortholog_one2one
POU4F1	ENSG00000152192	Pou4f1	ENSMUSG00000048349	ortholog_one2one
SOX1	ENSG00000182968	Sox1	ENSMUSG00000096014	ortholog_one2one
NALF1	ENSG00000204442	Nalf1	ENSMUSG00000079157	ortholog_one2one
RNU6-67P	ENSG00000222791	Gm24168	ENSMUSG00000119396	ortholog_one2one
MIR15A	ENSG00000283785	Mir15a	ENSMUSG00000093007	ortholog_one2one
LRTM3	ENSG00000175820	Ccdc168	ENSMUSG00000091844	ortholog_one2one
RN7SKP9	ENSG00000201793	Gm54754	ENSMUSG00002076809	ortholog_one2one
SLITRK1	ENSG00000178235	Slitrk1	ENSMUSG00000075478	ortholog_one2one
RNU6-57P	ENSG00000223280	Gm23148	ENSMUSG00000118769	ortholog_one2one
RNU6-78P	ENSG00000199767	Gm22364	ENSMUSG00000065031	ortholog_one2one
